kat	intensity
0.	0.9154434155075226	
0.17453292519943295	0.9999999999999999	
0.3490658503988659	0.901377235546506	
0.5235987755982988	0.7651418828884246	
0.6981317007977318	0.745048103267481	
0.8726646259971648	0.5943323162681083	
1.0471975511965976	0.5255386146442129	
1.2217304763960306	0.44738847261632014	
1.3962634015954636	0.43381919948470055	
1.5707963267948966	0.4409526477021398	
1.7453292519943295	0.4222113002611604	
1.9198621771937625	0.4715043661556919	
2.0943951023931953	0.47714045421451173	
2.2689280275926285	0.5067782640085599	
2.443460952792061	0.6164994283777987	
2.6179938779914944	0.7372529775487557	
2.792526803190927	0.8028246836998381	
2.96705972839036	0.9046764648868281	
3.141592653589793	0.8959571275717276	
3.3161255787892263	0.8961532649625354	
3.490658503988659	0.8590184277565698	
3.6651914291880923	0.8080913923923113	
3.839724354387525	0.7247856607540529	
4.014257279586958	0.7050517970611445	
4.1887902047863905	0.6037069966862703	
4.363323129985823	0.5915155696455636	
4.537856055185257	0.49752431874691866	
4.71238898038469	0.515481345578819	
4.886921905584122	0.4799585745619726	
5.061454830783556	0.5104638916405786	
5.235987755982989	0.5332296425415133	
5.410520681182422	0.5977497622692715	
5.585053606381854	0.6733695793196398	
5.759586531581287	0.735151178427024	
5.93411945678072	0.8083264519890774	
6.1086523819801535	0.9393561503954039	
6.283185307179586	0.9154434155075226
