kat	intensity
0.	0.9888782160506167	
0.17453292519943295	0.9671411161808111	
0.3490658503988659	0.9124954380637098	
0.5235987755982988	0.8278543496604969	
0.6981317007977318	0.7452154461027298	
0.8726646259971648	0.6805126902109181	
1.0471975511965976	0.6314680747487227	
1.2217304763960306	0.6009705920096	
1.3962634015954636	0.5901235315571218	
1.5707963267948966	0.6003488622112703	
1.7453292519943295	0.6394267534044041	
1.9198621771937625	0.6871650281139817	
2.0943951023931953	0.7388373432992438	
2.2689280275926285	0.8060809862890999	
2.443460952792061	0.8764762572354539
2.6179938779914944	0.9407199196391037	
2.792526803190927	0.9778285928064202	
2.96705972839036	0.9962604637601247	
3.141592653589793	0.97923981688519	
3.3161255787892263	0.9427247906698529	
3.490658503988659	0.8877879056460319	
3.6651914291880923	0.8258598570729642	
3.839724354387525	0.763494448692823	
4.014257279586958	0.7078278980612214	
4.1887902047863905	0.6685667357708186	
4.363323129985823	0.6500922521502609	
4.537856055185257	0.6506572057592301	
4.71238898038469	0.6622880218235463	
4.886921905584122	0.6927769576094319	
5.061454830783556	0.7272416918425315	
5.235987755982989	0.7713755942727112	
5.410520681182422	0.8321994985868835	
5.585053606381854	0.8849333453641876	
5.759586531581287	0.9452495606560788	
5.93411945678072	0.980348356720036	
6.1086523819801535	1.	
6.283185307179586	0.9888782160506167
